City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Sinazongwe,ZM,75.51,moderate rain,-17.2614,27.4618,Lakeview Lodge
257,Pisco,PE,75.2,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
258,Kiama,AU,70.0,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
260,Kattivakkam,IN,69.8,mist,13.2167,80.3167,Raj's villa
261,Santiago,CL,77.0,clear sky,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
262,Ahuimanu,US,78.8,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
264,Port Augusta,AU,69.01,clear sky,-32.5,137.7667,Majestic Oasis Apartments
266,Vallenar,CL,74.64,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
267,Maungatapere,NZ,70.0,broken clouds,-35.75,174.2,Les & Pauline Kell
270,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
272,Dagana,MR,73.4,scattered clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
274,Ahipara,NZ,72.43,few clouds,-35.1667,173.1667,Ahipara Holiday Park
275,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
279,Chandler,US,73.99,clear sky,33.3062,-111.8412,Hilton Phoenix/Chandler
286,Sinnamary,GF,78.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
288,Ambilobe,MG,73.63,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
291,Faanui,PF,81.27,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
294,Padang,ID,73.4,heavy intensity rain,-0.9492,100.3543,Mercure Padang
296,Omboue,GA,79.12,overcast clouds,-1.5746,9.2618,Hotel Olako
297,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
300,Isangel,VU,82.04,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
301,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
303,Rio Cuarto,AR,82.4,few clouds,-33.1307,-64.3499,Hotel Menossi
305,San Patricio,US,73.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
306,Braganca,BR,75.27,light rain,-1.0536,-46.7656,Marujo's Suíte Hotel
314,Sabha,LY,68.07,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
315,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
320,Santa Rosalia,MX,68.83,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
321,Kabinda,CD,69.57,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
328,Basoko,CD,71.91,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
336,Sao Jose Da Coroa Grande,BR,78.94,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
340,Port Macquarie,AU,75.99,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
349,San Policarpo,PH,80.38,overcast clouds,12.1791,125.5072,JM Lodge
350,Boa Vista,BR,84.2,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
351,Grand Gaube,MU,75.99,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
