City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Caconda,AO,2021-02-06 22:28:38,-13.7333,15.0667,63.12,69,80,6.4
68,Port Elizabeth,ZA,2021-02-06 22:28:39,-33.918,25.5701,68.0,83,40,9.22
69,Husavik,IS,2021-02-06 22:28:40,66.0449,-17.3389,33.8,64,75,8.05
70,Amapa,BR,2021-02-06 22:28:12,1.0,-52.0,73.47,98,100,2.55
71,Tasiilaq,GL,2021-02-06 22:28:40,65.6145,-37.6368,35.6,55,75,29.93
72,Nome,US,2021-02-06 22:26:56,64.5011,-165.4064,17.6,86,90,6.91
73,Valleyview,CA,2021-02-06 22:28:40,55.0667,-117.2859,-14.8,64,94,4.38
74,Haines Junction,CA,2021-02-06 22:28:40,60.7522,-137.5108,-7.6,54,92,2.3
75,Murray Bridge,AU,2021-02-06 22:28:40,-35.1167,139.2667,57.0,99,83,1.99
76,Gashua,NG,2021-02-06 22:28:40,12.871,11.0482,66.56,23,100,9.35
77,San Patricio,US,2021-02-06 22:27:36,28.017,-97.5169,75.2,60,20,11.5
78,Nyzhnya Duvanka,UA,2021-02-06 22:28:41,49.5846,38.1743,17.24,85,100,13.96
79,Kununurra,AU,2021-02-06 22:26:53,-15.7667,128.7333,78.8,100,100,3.44
80,Lexington,US,2021-02-06 22:28:41,37.9887,-84.4777,44.01,52,1,8.05
81,Barrow,US,2021-02-06 22:25:02,71.2906,-156.7887,-5.8,77,75,10.36
82,Rawson,AR,2021-02-06 22:25:27,-43.3002,-65.1023,60.69,67,98,26.51
83,Bredasdorp,ZA,2021-02-06 22:28:42,-34.5322,20.0403,69.8,73,75,6.91
84,Namatanai,PG,2021-02-06 22:28:43,-3.6667,152.4333,81.77,74,71,3.4
85,Kokopo,PG,2021-02-06 22:28:43,-4.352,152.2633,79.52,77,42,4.41
86,Nelson Bay,AU,2021-02-06 22:28:43,-32.7167,152.15,75.99,83,26,12.66
87,Yantzaza,EC,2021-02-06 22:28:43,-3.8278,-78.7594,80.4,62,77,3.11
88,Mountain Home,US,2021-02-06 22:25:58,43.133,-115.6912,51.8,28,1,6.91
89,Valparaiso,CL,2021-02-06 22:28:43,-33.0393,-71.6273,64.0,77,90,9.22
